,new2
149,What were the reason(s) you could not access your method of contraception since March?
150,What were the reason(s) you could not access your method of contraception since March?
151,What were the reason(s) you could not access your method of contraception since March?
152,What were the reason(s) you could not access your method of contraception since March?
153,What were the reason(s) you could not access your method of contraception since March?
154,What were the reason(s) you could not access your method of contraception since March?
155,Specify the other reason you were not able to access contraception since March.
156,Are you alone right now?
157,Are you alone right now?
158,Are you alone right now?
159,"How safe do you feel in your home, where you currently sleep?"
160,"How safe do you feel in your home, where you currently sleep?"
161,"How safe do you feel in your home, where you currently sleep?"
162,"How safe do you feel in your home, where you currently sleep?"
163,"How safe do you feel in your home, where you currently sleep?"
164,"How safe do you feel in your home, where you currently sleep?"
165,"Since March, have you felt more or less safe in your home?"
166,"Since March, have you felt more or less safe in your home?"
167,"Since March, have you felt more or less safe in your home?"
168,"Since March, have you felt more or less safe in your home?"
169,"Since March, have you felt more or less safe in your home?"
170,Is there a place that you could go if something happened that made you feel unsafe in your home?
171,Is there a place that you could go if something happened that made you feel unsafe in your home?
172,Is there a place that you could go if something happened that made you feel unsafe in your home?
173,Is there a place that you could go if something happened that made you feel unsafe in your home?
174,"During December-February, how often did you need to go to this place?"
175,"During December-February, how often did you need to go to this place?"
176,"During December-February, how often did you need to go to this place?"
177,"During December-February, how often did you need to go to this place?"
178,"During December-February, how often did you need to go to this place?"
179,"During December-February, how often did you need to go to this place?"
180,"During December-February, how often did you need to go to this place?"
181,"Since March, how often did you need to go to this place?"
182,"Since March, how often did you need to go to this place?"
183,"Since March, how often did you need to go to this place?"
184,"Since March, how often did you need to go to this place?"
185,"Since March, how often did you need to go to this place?"
186,"Since March, how often did you need to go to this place?"
187,"Since March, how often did you need to go to this place?"
188,"Since March, did you intend to go to this safe place but were prevented from doing so?"
189,"Since March, did you intend to go to this safe place but were prevented from doing so?"
190,"Since March, did you intend to go to this safe place but were prevented from doing so?"
191,"Since March, did you intend to go to this safe place but were prevented from doing so?"
192,What was the main reason that prevented you from going to this place?
193,What was the main reason that prevented you from going to this place?
194,What was the main reason that prevented you from going to this place?
195,What was the main reason that prevented you from going to this place?
196,What was the main reason that prevented you from going to this place?
197,What was the main reason that prevented you from going to this place?
198,What was the main reason that prevented you from going to this place?
199,"During December-February, have you sought the services of a women's help organization (e.g. crisis center, shelter, hotline)?"
200,"During December-February, have you sought the services of a women's help organization (e.g. crisis center, shelter, hotline)?"
201,"During December-February, have you sought the services of a women's help organization (e.g. crisis center, shelter, hotline)?"
202,"During December-February, have you sought the services of a women's help organization (e.g. crisis center, shelter, hotline)?"
